"算出基準日","都道府県名","市区町村名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付件数基準日","団体コード"
"2021/05/01","北海道","川上郡弟子屈町",7102,1563,22.0,"2020/01/01","2021/05/01",16659
"2021/05/01","北海道","阿寒郡鶴居村",2509,631,25.1,"2020/01/01","2021/05/01",16675
"2021/05/01","北海道","白糠郡白糠町",7710,1918,24.9,"2020/01/01","2021/05/01",16683
"2021/05/01","北海道","野付郡別海町",15006,2958,19.7,"2020/01/01","2021/05/01",16918
"2021/05/01","北海道","標津郡中標津町",23392,6272,26.8,"2020/01/01","2021/05/01",16926
"2021/05/01","北海道","標津郡標津町",5243,1285,24.5,"2020/01/01","2021/05/01",16934
"2021/05/01","北海道","目梨郡羅臼町",4955,1033,20.8,"2020/01/01","2021/05/01",16942
"2021/05/01","青森県","青森市",281232,72259,25.7,"2020/01/01","2021/05/01",22012
"2021/05/01","青森県","弘前市",170212,43758,25.7,"2020/01/01","2021/05/01",22021
"2021/05/01","青森県","八戸市",227812,59711,26.2,"2020/01/01","2021/05/01",22039
"2021/05/01","青森県","黒石市",33084,6844,20.7,"2020/01/01","2021/05/01",22047
"2021/05/01","青森県","五所川原市",53965,12268,22.7,"2020/01/01","2021/05/01",22055
"2021/05/01","青森県","十和田市",61067,17661,28.9,"2020/01/01","2021/05/01",22063
"2021/05/01","青森県","三沢市",39726,12845,32.3,"2020/01/01","2021/05/01",22071
"2021/05/01","青森県","むつ市",56790,15292,26.9,"2020/01/01","2021/05/01",22080
"2021/05/01","青森県","つがる市",31998,8934,27.9,"2020/01/01","2021/05/01",22098
"2021/05/01","青森県","平川市",31112,8742,28.1,"2020/01/01","2021/05/01",22101
"2021/05/01","青森県","東津軽郡平内町",10874,2384,21.9,"2020/01/01","2021/05/01",23019
"2021/05/01","青森県","東津軽郡今別町",2577,623,24.2,"2020/01/01","2021/05/01",23035
"2021/05/01","青森県","東津軽郡蓬田村",2763,526,19.0,"2020/01/01","2021/05/01",23043
"2021/05/01","青森県","東津軽郡外ヶ浜町",5901,1357,23.0,"2020/01/01","2021/05/01",23078
"2021/05/01","青森県","西津軽郡鰺ヶ沢町",9730,1917,19.7,"2020/01/01","2021/05/01",23213
"2021/05/01","青森県","西津軽郡深浦町",8019,1623,20.2,"2020/01/01","2021/05/01",23230
"2021/05/01","青森県","中津軽郡西目屋村",1359,276,20.3,"2020/01/01","2021/05/01",23434
"2021/05/01","青森県","南津軽郡藤崎町",14983,3168,21.1,"2020/01/01","2021/05/01",23612
"2021/05/01","青森県","南津軽郡大鰐町",9395,2515,26.8,"2020/01/01","2021/05/01",23621
"2021/05/01","青森県","南津軽郡田舎館村",7787,1766,22.7,"2020/01/01","2021/05/01",23671
"2021/05/01","青森県","北津軽郡板柳町",13448,2345,17.4,"2020/01/01","2021/05/01",23817
"2021/05/01","青森県","北津軽郡鶴田町",12695,1967,15.5,"2020/01/01","2021/05/01",23841
"2021/05/01","青森県","北津軽郡中泊町",10891,1649,15.1,"2020/01/01","2021/05/01",23876
"2021/05/01","青森県","上北郡野辺地町",13094,3139,24.0,"2020/01/01","2021/05/01",24015
"2021/05/01","青森県","上北郡七戸町",15424,4121,26.7,"2020/01/01","2021/05/01",24023
"2021/05/01","青森県","上北郡六戸町",11033,3083,27.9,"2020/01/01","2021/05/01",24058
"2021/05/01","青森県","上北郡横浜町",4439,1457,32.8,"2020/01/01","2021/05/01",24066
"2021/05/01","青森県","上北郡東北町",17431,3764,21.6,"2020/01/01","2021/05/01",24082
"2021/05/01","青森県","上北郡六ヶ所村",10265,2208,21.5,"2020/01/01","2021/05/01",24112
"2021/05/01","青森県","上北郡おいらせ町",25293,6569,26.0,"2020/01/01","2021/05/01",24121
"2021/05/01","青森県","下北郡大間町",5237,994,19.0,"2020/01/01","2021/05/01",24236
"2021/05/01","青森県","下北郡東通村",6330,1339,21.2,"2020/01/01","2021/05/01",24244
"2021/05/01","青森県","下北郡風間浦村",1855,405,21.8,"2020/01/01","2021/05/01",24252
"2021/05/01","青森県","下北郡佐井村",1960,489,24.9,"2020/01/01","2021/05/01",24261
"2021/05/01","青森県","三戸郡三戸町",9895,2383,24.1,"2020/01/01","2021/05/01",24414
"2021/05/01","青森県","三戸郡五戸町",17018,3535,20.8,"2020/01/01","2021/05/01",24422
"2021/05/01","青森県","三戸郡田子町",5394,1216,22.5,"2020/01/01","2021/05/01",24431
"2021/05/01","青森県","三戸郡南部町",17870,3296,18.4,"2020/01/01","2021/05/01",24457
"2021/05/01","青森県","三戸郡階上町",13404,2936,21.9,"2020/01/01","2021/05/01",24465
"2021/05/01","青森県","三戸郡新郷村",2421,467,19.3,"2020/01/01","2021/05/01",24503
"2021/05/01","岩手県","盛岡市",288470,93358,32.4,"2020/01/01","2021/05/01",32018
"2021/05/01","岩手県","宮古市",51744,13105,25.3,"2020/01/01","2021/05/01",32026
"2021/05/01","岩手県","大船渡市",35849,8806,24.6,"2020/01/01","2021/05/01",32034
"2021/05/01","岩手県","花巻市",95235,21659,22.7,"2020/01/01","2021/05/01",32051
"2021/05/01","岩手県","北上市",92546,18402,19.9,"2020/01/01","2021/05/01",32069
"2021/05/01","岩手県","久慈市",34696,6366,18.3,"2020/01/01","2021/05/01",32077
"2021/05/01","岩手県","遠野市",26555,5017,18.9,"2020/01/01","2021/05/01",32085
"2021/05/01","岩手県","一関市",115426,27692,24.0,"2020/01/01","2021/05/01",32093
"2021/05/01","岩手県","陸前高田市",18931,3943,20.8,"2020/01/01","2021/05/01",32107
"2021/05/01","岩手県","釜石市",32977,10136,30.7,"2020/01/01","2021/05/01",32115
"2021/05/01","岩手県","二戸市",26576,5588,21.0,"2020/01/01","2021/05/01",32131
"2021/05/01","岩手県","八幡平市",25276,7041,27.9,"2020/01/01","2021/05/01",32140
"2021/05/01","岩手県","奥州市",116082,29676,25.6,"2020/01/01","2021/05/01",32158
"2021/05/01","岩手県","滝沢市",55448,15933,28.7,"2020/01/01","2021/05/01",32166
"2021/05/01","岩手県","岩手郡雫石町",16385,3506,21.4,"2020/01/01","2021/05/01",33014
"2021/05/01","岩手県","岩手郡葛巻町",6017,2531,42.1,"2020/01/01","2021/05/01",33022
"2021/05/01","岩手県","岩手郡岩手町",13137,2895,22.0,"2020/01/01","2021/05/01",33031
"2021/05/01","岩手県","紫波郡紫波町",33114,9625,29.1,"2020/01/01","2021/05/01",33219
"2021/05/01","岩手県","紫波郡矢巾町",27377,7421,27.1,"2020/01/01","2021/05/01",33227
"2021/05/01","岩手県","和賀郡西和賀町",5537,880,15.9,"2020/01/01","2021/05/01",33669
"2021/05/01","岩手県","胆沢郡金ケ崎町",15622,3436,22.0,"2020/01/01","2021/05/01",33812
"2021/05/01","岩手県","西磐井郡平泉町",7485,1491,19.9,"2020/01/01","2021/05/01",34029
"2021/05/01","岩手県","気仙郡住田町",5384,1310,24.3,"2020/01/01","2021/05/01",34410
"2021/05/01","岩手県","上閉伊郡大槌町",11663,2187,18.8,"2020/01/01","2021/05/01",34614
"2021/05/01","岩手県","下閉伊郡山田町",15330,3648,23.8,"2020/01/01","2021/05/01",34827
"2021/05/01","岩手県","下閉伊郡岩泉町",9158,1708,18.7,"2020/01/01","2021/05/01",34835
"2021/05/01","岩手県","下閉伊郡田野畑村",3313,514,15.5,"2020/01/01","2021/05/01",34843
"2021/05/01","岩手県","下閉伊郡普代村",2628,604,23.0,"2020/01/01","2021/05/01",34851
"2021/05/01","岩手県","九戸郡軽米町",8984,2064,23.0,"2020/01/01","2021/05/01",35017
"2021/05/01","岩手県","九戸郡野田村",4220,811,19.2,"2020/01/01","2021/05/01",35033
"2021/05/01","岩手県","九戸郡九戸村",5706,1081,18.9,"2020/01/01","2021/05/01",35068
