"算出基準日","都道府県名","市区町村名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付件数基準日","団体コード"
"2021/07/01","北海道","紋別郡興部町",3778,1009,26.7,"2020/01/01","2021/07/01",15610
"2021/07/01","北海道","紋別郡西興部村",1067,187,17.5,"2020/01/01","2021/07/01",15628
"2021/07/01","北海道","紋別郡雄武町",4389,1336,30.4,"2020/01/01","2021/07/01",15636
"2021/07/01","北海道","網走郡大空町",7130,1696,23.8,"2020/01/01","2021/07/01",15644
"2021/07/01","北海道","虻田郡豊浦町",3923,853,21.7,"2020/01/01","2021/07/01",15717
"2021/07/01","北海道","有珠郡壮瞥町",2517,893,35.5,"2020/01/01","2021/07/01",15750
"2021/07/01","北海道","白老郡白老町",16638,4420,26.6,"2020/01/01","2021/07/01",15784
"2021/07/01","北海道","勇払郡厚真町",4500,1418,31.5,"2020/01/01","2021/07/01",15814
"2021/07/01","北海道","虻田郡洞爺湖町",8689,2231,25.7,"2020/01/01","2021/07/01",15849
"2021/07/01","北海道","勇払郡安平町",7761,2382,30.7,"2020/01/01","2021/07/01",15857
"2021/07/01","北海道","勇払郡むかわ町",7870,2495,31.7,"2020/01/01","2021/07/01",15865
"2021/07/01","北海道","沙流郡日高町",11919,2668,22.4,"2020/01/01","2021/07/01",16012
"2021/07/01","北海道","沙流郡平取町",4923,1205,24.5,"2020/01/01","2021/07/01",16021
"2021/07/01","北海道","新冠郡新冠町",5483,1070,19.5,"2020/01/01","2021/07/01",16047
"2021/07/01","北海道","浦河郡浦河町",12166,2717,22.3,"2020/01/01","2021/07/01",16071
"2021/07/01","北海道","様似郡様似町",4230,867,20.5,"2020/01/01","2021/07/01",16080
"2021/07/01","北海道","幌泉郡えりも町",4623,884,19.1,"2020/01/01","2021/07/01",16098
"2021/07/01","北海道","日高郡新ひだか町",22242,6526,29.3,"2020/01/01","2021/07/01",16101
"2021/07/01","北海道","河東郡音更町",44342,11634,26.2,"2020/01/01","2021/07/01",16314
"2021/07/01","北海道","河東郡士幌町",6044,1433,23.7,"2020/01/01","2021/07/01",16322
"2021/07/01","北海道","河東郡上士幌町",4957,1042,21.0,"2020/01/01","2021/07/01",16331
"2021/07/01","北海道","河東郡鹿追町",5331,1605,30.1,"2020/01/01","2021/07/01",16349
"2021/07/01","北海道","上川郡新得町",6099,1293,21.2,"2020/01/01","2021/07/01",16357
