"都道府県名","市区町村名","総数（人口）
【H30.1.1時点】","交付枚数
【H30.7.1時点】","交付率"
"宮城県","大崎市",132321,12816,9.7
"宮城県","富谷市",52635,5305,10.1
"宮城県","刈田郡蔵王町",12333,998,8.1
"宮城県","刈田郡七ヶ宿町",1427,219,15.3
"宮城県","柴田郡大河原町",23669,2416,10.2
"宮城県","柴田郡村田町",11262,1046,9.3
"宮城県","柴田郡柴田町",38012,4319,11.4
"宮城県","柴田郡川崎町",8912,603,6.8
"宮城県","伊具郡丸森町",13929,1252,9.0
"宮城県","亘理郡亘理町",33834,3444,10.2
"宮城県","亘理郡山元町",12415,1225,9.9
"宮城県","宮城郡松島町",14459,1843,12.7
"宮城県","宮城郡七ヶ浜町",18983,1630,8.6
"宮城県","宮城郡利府町",36250,4538,12.5
"宮城県","黒川郡大和町",28697,2683,9.3
"宮城県","黒川郡大郷町",8235,513,6.2
"宮城県","黒川郡大衡村",5875,478,8.1
"宮城県","加美郡色麻町",6997,479,6.8
"宮城県","加美郡加美町",23853,1598,6.7
"宮城県","遠田郡涌谷町",16592,1169,7.0
"宮城県","遠田郡美里町",24707,2381,9.6
"宮城県","牡鹿郡女川町",6637,609,9.2
"宮城県","本吉郡南三陸町",13210,1233,9.3
"秋田県","秋田市",312374,33310,10.7
"秋田県","能代市",54275,4876,9.0
"秋田県","横手市",91743,7552,8.2
"秋田県","大館市",73632,6478,8.8
"秋田県","男鹿市",28407,2084,7.3
"秋田県","湯沢市",46330,3116,6.7
"秋田県","鹿角市",31604,2893,9.2
"秋田県","由利本荘市",78505,6598,8.4
"秋田県","潟上市",33213,2655,8.0
"秋田県","大仙市",83014,6424,7.7
"秋田県","北秋田市",32837,2541,7.7
"秋田県","にかほ市",25146,1780,7.1
"秋田県","仙北市",26991,2323,8.6
"秋田県","鹿角郡小坂町",5235,492,9.4
"秋田県","北秋田郡上小阿仁村",2375,207,8.7
"秋田県","山本郡藤里町",3374,334,9.9
"秋田県","山本郡三種町",17084,1222,7.2
"秋田県","山本郡八峰町",7361,458,6.2
"秋田県","南秋田郡五城目町",9524,724,7.6
"秋田県","南秋田郡八郎潟町",6022,462,7.7
"秋田県","南秋田郡井川町",4877,247,5.1
"秋田県","南秋田郡大潟村",3205,277,8.6
"秋田県","仙北郡美郷町",19983,1257,6.3
"秋田県","雄勝郡羽後町",15343,811,5.3
"秋田県","雄勝郡東成瀬村",2603,285,10.9
"山形県","山形市",248024,20339,8.2
"山形県","米沢市",81847,6006,7.3
"山形県","鶴岡市",128552,10194,7.9
"山形県","酒田市",104317,9386,9.0
"山形県","新庄市",36347,2903,8.0
"山形県","寒河江市",41463,3303,8.0
"山形県","上山市",30889,2334,7.6
"山形県","村山市",24707,1880,7.6
"山形県","長井市",27257,2554,9.4
"山形県","天童市",61998,5404,8.7
"山形県","東根市",47858,3905,8.2
"山形県","尾花沢市",16589,1203,7.3
"山形県","南陽市",31822,2209,6.9
"山形県","東村山郡山辺町",14521,1014,7.0
"山形県","東村山郡中山町",11421,928,8.1
"山形県","西村山郡河北町",18975,1613,8.5
"山形県","西村山郡西川町",5547,456,8.2
"山形県","西村山郡朝日町",7083,706,10.0
"山形県","西村山郡大江町",8403,853,10.2
"山形県","北村山郡大石田町",7257,592,8.2
"山形県","最上郡金山町",5674,400,7.0
"山形県","最上郡最上町",8820,704,8.0
"山形県","最上郡舟形町",5511,407,7.4
"山形県","最上郡真室川町",7978,596,7.5
"山形県","最上郡大蔵村",3346,334,10.0
"山形県","最上郡鮭川村",4329,292,6.7
"山形県","最上郡戸沢村",4704,373,7.9
"山形県","東置賜郡高畠町",23788,1644,6.9
"山形県","東置賜郡川西町",15516,1082,7.0
"山形県","西置賜郡小国町",7779,1541,19.8
"山形県","西置賜郡白鷹町",14061,1002,7.1
"山形県","西置賜郡飯豊町",7289,826,11.3
"山形県","東田川郡三川町",7474,521,7.0
"山形県","東田川郡庄内町",21692,1527,7.0
"山形県","飽海郡遊佐町",14146,1020,7.2
"福島県","福島市",281458,31381,11.1
"福島県","会津若松市",120756,12749,10.6
"福島県","郡山市",325683,31702,9.7
"福島県","いわき市",327090,29171,8.9
"福島県","白河市",61654,6276,10.2
"福島県","須賀川市",77153,6889,8.9
"福島県","喜多方市",48726,3986,8.2
"福島県","相馬市",35529,3668,10.3
"福島県","二本松市",55558,4733,8.5
"福島県","田村市",37689,4950,13.1
"福島県","南相馬市",61452,8816,14.3
"福島県","伊達市",61485,5446,8.9
"福島県","本宮市",30628,2388,7.8
"福島県","伊達郡桑折町",12089,829,6.9
"福島県","伊達郡国見町",9342,1047,11.2
"福島県","伊達郡川俣町",13733,1596,11.6
"福島県","安達郡大玉村",8656,553,6.4
"福島県","岩瀬郡鏡石町",12718,1093,8.6
"福島県","岩瀬郡天栄村",5782,400,6.9
"福島県","南会津郡下郷町",5845,452,7.7
"福島県","南会津郡檜枝岐村",576,121,21.0
"福島県","南会津郡只見町",4447,467,10.5
"福島県","南会津郡南会津町",16077,1665,10.4
"福島県","耶麻郡北塩原村",2874,250,8.7
"福島県","耶麻郡西会津町",6558,498,7.6
"福島県","耶麻郡磐梯町",3533,363,10.3
"福島県","耶麻郡猪苗代町",14641,1551,10.6
"福島県","河沼郡会津坂下町",16415,1278,7.8
"福島県","河沼郡湯川村",3315,257,7.8
"福島県","河沼郡柳津町",3494,265,7.6
"福島県","大沼郡三島町",1678,157,9.4
"福島県","大沼郡金山町",2135,272,12.7
"福島県","大沼郡昭和村",1294,382,29.5
"福島県","大沼郡会津美里町",20801,1690,8.1
"福島県","西白河郡西郷村",20116,1877,9.3
"福島県","西白河郡泉崎村",6519,608,9.3
"福島県","西白河郡中島村",5176,397,7.7
"福島県","西白河郡矢吹町",17552,1407,8.0
"福島県","東白川郡棚倉町",14327,1301,9.1
"福島県","東白川郡矢祭町",5917,445,7.5
"福島県","東白川郡塙町",9004,666,7.4
"福島県","東白川郡鮫川村",3518,269,7.6
