団体コード,都道府県名,郡名,市区町村名
63827,山形県,東置賜郡,川西町
64017,山形県,西置賜郡,小国町
64025,山形県,西置賜郡,白鷹町
64033,山形県,西置賜郡,飯豊町
64262,山形県,東田川郡,三川町
64289,山形県,東田川郡,庄内町
64611,山形県,飽海郡,遊佐町
72010,福島県,,福島市
72028,福島県,,会津若松市
72036,福島県,,郡山市
72044,福島県,,いわき市
72052,福島県,,白河市
72079,福島県,,須賀川市
72087,福島県,,喜多方市
72095,福島県,,相馬市
72109,福島県,,二本松市
72117,福島県,,田村市
72125,福島県,,南相馬市
72133,福島県,,伊達市
72141,福島県,,本宮市
73016,福島県,伊達郡,桑折町
73032,福島県,伊達郡,国見町
73083,福島県,伊達郡,川俣町
73229,福島県,安達郡,大玉村
73423,福島県,岩瀬郡,鏡石町
73440,福島県,岩瀬郡,天栄村
73628,福島県,南会津郡,下郷町
73644,福島県,南会津郡,檜枝岐村
73679,福島県,南会津郡,只見町
73687,福島県,南会津郡,南会津町
74021,福島県,耶麻郡,北塩原村
74055,福島県,耶麻郡,西会津町
74071,福島県,耶麻郡,磐梯町
74080,福島県,耶麻郡,猪苗代町
74217,福島県,河沼郡,会津坂下町
74225,福島県,河沼郡,湯川村
74233,福島県,河沼郡,柳津町
74446,福島県,大沼郡,三島町
74454,福島県,大沼郡,金山町
74462,福島県,大沼郡,昭和村
74471,福島県,大沼郡,会津美里町
74616,福島県,西白河郡,西郷村
74641,福島県,西白河郡,泉崎村
74659,福島県,西白河郡,中島村
74667,福島県,西白河郡,矢吹町
74811,福島県,東白川郡,棚倉町
74829,福島県,東白川郡,矢祭町
74837,福島県,東白川郡,塙町
74845,福島県,東白川郡,鮫川村
75019,福島県,石川郡,石川町
75027,福島県,石川郡,玉川村
75035,福島県,石川郡,平田村
75043,福島県,石川郡,浅川町
75051,福島県,石川郡,古殿町
75213,福島県,田村郡,三春町
75221,福島県,田村郡,小野町
75418,福島県,双葉郡,広野町
75426,福島県,双葉郡,楢葉町
75434,福島県,双葉郡,富岡町
75442,福島県,双葉郡,川内村
75451,福島県,双葉郡,大熊町
